Name,Affiliation,School Type,Institute Level,School Category,Institute Location,Starting Fee,Description
"1.Vantage Hall Girl’s Residential School, Dehradun",CBSE,Boarding School (Residential),Class IV to XII,Girls,Dunga,"INR 5,20,000onwards","Vantage Hall is a premier girls' boarding school in Dehradun, affiliated with the CBSE Board. Established in 2014, the school aims for academic excellence while focusing on personality development, communication skills, and leadership qualities. It also inspires girls to make meaningful contributions to society. Vantage Hall Girls' Residential School in Dehradun situated on 12 acres of lush grounds in the tranquil and scenic Doonga area of Dehradun, features modern infrastructure that suppo"
2.Tula's International School Dehradun,"CBSE, New Delhi",Boarding School (Residential),,Co-Educational,Chakrata Road,"INR 5,00,000onwards","Tula's International School is a co-educational residential school that opened in 2012, nestled in the lush green valley of Dehradun, Uttarakhand. It offers classes from IV to XII and follows the curriculum set by the Central Board of Secondary Education (CBSE), New Delhi. Tula’s International School in Dehradun combines skilled teachers, modern facilities, and efficient administration to provide a great learning environment. Students benefit from a well-stocked library, advanced laborato"
3.The TonsBridge School Dehradun,CBSE,Day & Residential School,,Co-Educational,,,"The Tons Bridge School, inaugurated by Dr. APJ Abdul Kalam in 2012, is renowned as a top day and boarding school in Dehradun offering boarding facilities from grade 3 onwards. The Tons Bridge School is an co-educational boarding school, affiliated with the CBSE Board, offers education from Nursery to Class 12. The School is spread across 25 acres near the riverside on Subharti Hospital Road, Dehradun. It features modern infrastructure, including two academic blocks, a digital library, laboratori"
4.The Doon School Dehradun,"CISCE, New Delhi",Boarding School (Residential),,Boys,Chakrata Road,"INR 11,20,000onwards","The Doon School, is a renowned boys' boarding school in Dehradun established in 1935 by Satish Ranjan Das, cousin of Indian freedom fighter Chittaranjan Das and former Chief Justice of India Sudhi Ranjan Das. The school boasts a dedicated team of skilled and experienced teachers who live on campus and engage actively in both academic and co-curricular activities. The Doon School offers a range of state-of-the-art facilities, including an art & media school, auditorium, dining hall, library,"
5.Welham Boys School Dehradun,CBSE New Delhi,Boarding School (Residential),,Boys,Dalanwala,"INR 5,70,000onwards","Welham Boys' School, established in 1937 by the renowned English educator Ms. Oliphant, is a prestigious boys' residential school in Dehradun spread across 30 acres and affiliated with the CBSE Board. Situated in the serene Doon Valley along the River Rispana, the school excels in academics, sports, and co-curricular activities. As one of the leading boarding schools in Dehradun, Welham Boys' offers specialized boarding houses, including Junior School, Middle School, and Senior School. Each resi"
6.Welham Girls School Dehradun,"CISCE, New Delhi",Boarding School (Residential),,Girls,Dalanwala,"INR 8,50,000onwards","In 1937, Miss Oliphant, a retired English headmistress, established Welham Boys' School. Recognizing the need for a comparable school for girls, she acquired the adjacent Nasreen estate to create a boarding school in Dehradun for young Indian girls. Under the leadership of Founder Principal Miss Linnell, Welham Girls' School quickly emerged as a best boarding School in Dehradun. The school is dedicated to inspiring and empowering girls to realize their full potential, fostering independence and"
7.Rashtriya Indian Military College RIMC Dehradun,,Boarding School (Residential),,,,,"The Rashtriya Indian Military College (RIMC) is a prestigious all-boys boarding School in Doon Valley, of Dehradun, India. Originally named the Prince of Wales Royal Indian Military College, it was renamed after 1947. The college is situated on 138 acres of lush green countryside near Garhi Village in Dehradun Cantonment, providing an ideal, serene environment for nurturing and developing young minds.The RIMC enjoys a great tradition as a feeder institution for the National Defence Academy and s"
8.Convent Of Jesus & Mary Dehradun,"CISCE, New Delhi",Boarding School (Residential),,Girls,Race Course,"INR 68,000onwards","The Convent of Jesus & Mary School, founded in 2001 by the J & M Dehradun Educational Society (established in 1901), is a Christian minority institution focused on educating the Catholic community and upholding Catholic faith and practices. This girls' boarding school in Dehradun provides a comprehensive education aimed at fostering spiritual, intellectual, and personal growth. As a girls' boarding school in Dehradun, Convent of Jesus & Mary provides education from L.K.G. to 12th gra"
9.Hopetown Girls School Dehradun,"CISCE, New Delhi",Boarding School (Residential),,Girls,Silaqui,"INR 11,00,000onwards","Hopetown Girls' School is a premier all-girls boarding school located on Raja Road in Dehradun. Spanning 50 acres, the school offers classes from 6th to 12th grade and is affiliated with the CISCE Board, providing both ICSE and ISC curriculam. The academic block features three science laboratories, two computer labs, an audio-visual room, and a spacious hall.Hopetown Girls' School building is designed with large, airy, and bright classrooms. Adjacent to the academic blocks is a well-equipped lib"
10.Kasiga School Dehradun,"CBSE, New Delhi",Boarding School (Residential),,Co-Educational,Mussoorie Road,"INR 8,50,000onwards","Kasiga School, established in 2007, is a co-educational, English medium residential school in Dehradun, affiliated with both the Central Board of Secondary Education (CBSE) and the University of Cambridge International Examinations (CIE). Kasiga School in Dehradunemphasizes the physical, social, intellectual, emotional, and spiritual development of each student. With kitchens and a dining hall guided by a qualified nutritionist, it ensures that students and faculty receive a well-balanced diet."
