School Name,Full URL,Address,City,District,State,Phone,Email,Website
"1.Vantage Hall Girl’s Residential School, Dehradun",https://www.euttaranchal.com/schools/vantage-hall-girls-residential-school-dehradun.php,"The Yellow Brick Road, Doonga, Dehradun - 248007, Uttarakhand, India","Dehradun, Uttarakhand",Dehradun,Uttarakhand,"0135 - 2694305/304, +91-8191912999","contactus@vantagehall.org, admissions@vantagehall.org",https://www.vantagehall.org
2.Tula's International School Dehradun,https://www.euttaranchal.com/schools/tulas-international-school-dehradun.php,"Dhoolkot, P.O - Selaqui, Chakrata Road, Dehradun 248197, Uttarakhand, India","Dehradun, Uttarakhand",Dehradun,Uttarakhand,"+91-0135-2699444, +91-9458311000",info@tis.edu.in,https://www.tis.edu.in
3.The TonsBridge School Dehradun,https://www.euttaranchal.com/schools/the-tonsbridge-school-dehradun.php,"Tons Confluence, Subharti Hospital Road, Dehradun, Uttarakhand 248001",Dehradun,Dehradun,Uttarakhand,"+ 91 - 9897292071, + 91 - 8171999662",info@thetonsbridge.com,https://www.thetonsbridge.com
4.The Doon School Dehradun,https://www.euttaranchal.com/schools/doon-school-dehradun.php,"The Mall, Dehradun 248001, Uttarakhand, India","Dehradun, Uttarakhand",Dehradun,Uttarakhand,"+91-135-2526406,  +91-135-2526400","info@doonschool.com, admissions@doonschool.com",www.doonschool.com
5.Welham Boys School Dehradun,https://www.euttaranchal.com/schools/welham-boys-school-dehradun.php,"5, Circular Road, Dalanwala, Dehradun - 248001, Uttarakhand, India","Dehradun, Uttarakhand",Dehradun,Uttarakhand,"+91-135 -2657120, 2652935",welham1937@welhamboys.org,welhamboys.org
6.Welham Girls School Dehradun,https://www.euttaranchal.com/schools/welham-girls-school-dehradun.php,"No. 12 - Circular Road, Dalanwala, Dehradun - 248001, Uttarakhand, India","Dehradun, Uttarakhand",Dehradun,Uttarakhand,"+91-0135-2657223, 2659690, 2657378, 6670100","mainschool@welhamgirls.com, wgs_admissions@welhamgirls.com",www.welhamgirls.com
7.Rashtriya Indian Military College RIMC Dehradun,https://www.euttaranchal.com/schools/rashtriya-indian-military-college-dehradun.php,"Garhi Cantt, Dehradun - 248003, Uttarakhand, India","Dehradun, Uttarakhand",,,0135 - 2752083,rimcollege@yahoo.com,http://www.rimc.gov.in/rimcindex.aspx
8.Convent Of Jesus & Mary Dehradun,https://www.euttaranchal.com/schools/convent-of-jesus-mary-dehradun.php,"16, Convent Road, Dehradun- 248001, Uttarakhand, India","Dehradun, Uttarakhand",Dehradun,Uttarakhand,"0135 - 2651390, 2713560",contact@cjmdehradun.in jandmcjm@hotmail.com,www.cjmdehradun.in
9.Hopetown Girls School Dehradun,https://www.euttaranchal.com/schools/hopetown-girls-school-dehradun.php,"Rajawala Road (Off Chakrata Road 19th Milestone), P.O. Selakui, Dehradun - 248197, Uttarakhand, India","Dehradun, Uttarakhand",Dehradun,Uttarakhand,"0135-2698554, 0135-2699521, 0135-2698022, 09068716020","schooloffice@hopetown.in, admissions@hopetown.in",www.hopetown.in
10.Kasiga School Dehradun,https://www.euttaranchal.com/schools/kasiga-school-dehradun.php,Village Purkul Off Dehradun - Mussoorie Highway Dehradun - 248 009 Uttarakhand. INDIA,"Dehradun, Uttarakhand",Dehradun,Uttarakhand,"0135-7199100, 9917480901, 9917480984","admissions@kasigaschool.com, secyadmin@kasigaschool.com,",www.kasigaschool.com
"11.Doon International School, City Campus, Dehradun",https://www.euttaranchal.com/schools/doon-international-school-dehradun.php,"Pari Mahal, 32- Curzon Road, Dehra Dun-24800, Uttarakhand, India","Dehradun, Uttarakhand",Dehradun,Uttarakhand,"0135-2658491, 2656088, +91-7466002949, 7906523070","info@disdehradun.com, dis.parimahal7@gmail.com; accounts@disdehradun.com; contact@disdehradun.com",www.dooninternational.com
Joseph’s Academy Dehradun,https://www.euttaranchal.com/schools/st-josephs-academy-dehradun.php,"Rajpur Road, Dehradun - 248 001, Uttarakhand, India","Dehradun, Uttarakhand",,,0135-2712071 / 2712426,school_office@stjosephacademy.in,www.stjosephacademy.in
"13.Doon International School, Riverside Campus, Dehradun",https://www.euttaranchal.com/schools/doon-international-school-riverside-campus-dehradun.php,"Paundha, Dehradun - 248007, Uttarakhand India","Dehradun, Uttarakhand",Dehradun,Uttarakhand,"+ 91 - 9627598500, 7253000301","admissions@disriverside.com, enquiry@disriverside.com",www.disriverside.com
"Thomas’ College, Dehradun",https://www.euttaranchal.com/schools/st-thomas-dehradun.php,"2 Cross Road, Dehradun, Uttarakhand, India","Dehradun, Uttarakhand",,,+91-135-2654374 / 2710743,stthomascollegedehradun@gmail.com,http://www.stthomascollege.in/
15.Doon Global School Dehradun,https://www.euttaranchal.com/schools/doon-global-school-dehradun.php,"14th KM Stone, Jhajra, Chakrata Road, Dehradun-248007, UttaraKhand, India","Dehradun, Uttarakhand",Dehradun,Uttarakhand,+91 8530 488 345,admissions@doonglobalschool.com,www.doonglobalschool.net
"16.Selaqui International School, Dehradun",https://www.euttaranchal.com/schools/selaqui-international-school-dehradun.php,"Chakrata Road, Dehradun -248197, Uttarakhand, India","Dehradun, Uttarakhand",Dehradun,Uttarakhand,"General: 7253051000, Admissions:   7669 040404","selaqui@selaqui.org, admissions@selaqui.org",www.selaqui.org
17.Asian School Dehradun,https://www.euttaranchal.com/schools/asian-school-dehradun.php,"Asian Acres, Vasant Vihar (Indira Nagar), Dehradun – 248006, Uttarakhand, India","Dehradun, Uttarakhand",Dehradun,Uttarakhand,+91-8859500084,"info@theasianschool.net, theasianschool@gmail.com",https://www.theasianschool.net
18.Birla Open Minds International School,https://www.euttaranchal.com/schools/birla-open-minds-international-school.php,"Shimla Bypass Rd, Shiniwala, P.O, Sherpur, Dehradun, Uttarakhand",Dehradun,Dehradun,Uttarakhand,"9760700444, 9760300444",admission@bomis.org,http://birlaopenmindsdehradun.org/
"19.Ecole Globale International Girls School, Dehradun",https://www.euttaranchal.com/schools/ecole-globale-international-girls-school-dehradun.php,"Hurrawala, Chakrata Road, Dehradun, Uttarakhand","Dehradun, Uttarakhand",Dehradun,Uttarakhand,"+91-0135-3985400, 3985401,+91-9557291888","info@ecoleglobale.com, ecoleglobale@gmail.com",https://www.ecoleglobale.com
"20.St Judes School, Dehradun",https://www.euttaranchal.com/schools/st-judes-school-dehradun.php,"West Canal Road, P O Majra, Dehradun - 248001, Uttarakhand, India","Dehradun, Uttarakhand",,,"+91-0135-2640930, 2642828","info@stjudes.in, stjudeschool@rediffmail.com",http://www.stjudes.in/
"Public School, Dehradun",https://www.euttaranchal.com/schools/ami-public-school-dehradun.php,"Salawala,Dehradun, Uttarakhand",Dehradun,Dehradun,Uttarakhand,7895321606,amipublicschool@gmail.com,http://amipublicschool.com/
"22.Acacia Public School, Dehradun",https://www.euttaranchal.com/schools/acacia-public-school-dehradun.php,"Nathanpur, P.O. Nehru Gram, Dehradun, Uttarakhand",Dehradun,Dehradun,Uttarakhand,0135-2662629,acacia.school@yahoo.com,http://www.acaciapublicschool.in
23.Aditya Birla Public School Dehradun,https://www.euttaranchal.com/schools/aditya-birla-public-school-dehradun.php,"329 Garhi Cantonment, Maatri Chhaya, Dehra Dun, Uttarakhand",Dehradun,Dehradun,Uttarakhand,7088560007,shyamlal.ganguli@adityabirla.com,https://www.adityabirlaschools.com/
24.Adroit Progressive School Dehradun,https://www.euttaranchal.com/schools/adroit-progressive-school-dehradun.php,"22/1, Circular Road, Dalanwala Dehradun, Uttrakhand",Dehradun,Dehradun,Uttarakhand,"0135-2711945, +91-9897420422",maplebeardoon@hotmail.com,http://adroitschooldoon.com/
25.Ann Mary School Dehradun,https://www.euttaranchal.com/schools/ann-mary-school-dehradun.php,"General Mahadeo Singh Road, Dehradun, Uttarakhand - 248001 (India)","Dehradun, Uttarakhand",,,0135-2762923,annmaryschoolddn@yahoo.in,www.annmaryschool.com
"26.Apollo International School, Dehradun",https://www.euttaranchal.com/schools/apollo-international-school-dehradun.php,"Sahastradhara Road, Dehradun, Uttarakhand",Dehradun,Dehradun,Uttarakhand,"+91 135-2788451,+91 9837185103",apollointernationalschool@gmail.com,http://www.apollointernationalschool.com/
"27.Army Public School Birpur, Dehradun",https://www.euttaranchal.com/schools/army-public-school-birpur-dehradun.php,"Birpur, Dehradun - 248001, Uttarakhand, India","Dehradun, Uttarakhand",,,0135 - 2552041,apsbirpur@gmail.com,www.apsbirpur.edu.in
"28.Army Public School Clement Town, Dehradun",https://www.euttaranchal.com/schools/army-public-school-clement-town-dehradun.php,"Clement Town, Dehradun - 248002, Uttarakhand, India","Dehradun, Uttarakhand",,,0135 - 2643584,apsclementtown@gmail.com,www.apsclementtown.org
"29.Bachpan Playschool, Dehradun",https://www.euttaranchal.com/pre-schools/bachpan-playschool-dehradun.php,,"Dehradun, Uttarakhand",,,,,
"31.Beverly Hills Shalini School, Dehradun",https://www.euttaranchal.com/schools/beverly-hills-shalini-school.php,"Sahastradhara Road P.O. Kandoli, Dehradun - 248001, Uttarakhand","Dehradun, Uttarakhand",,,"7060074415, 7500355901, 8279756706, +91-135-2781629","info@beverlyhills.co.in, sansriongc@gmail.com",www.beverlyhills.co.in
"32.Bright Angels Senior Secondary School, Dehradun",https://www.euttaranchal.com/schools/bright-angels-senior-secondary-school-dehradun.php,"Chakrata road, Post Office Ambari, Jeevangarh, Vikas Nagar, Dehradun, Uttarakhand, India","Dehradun, Uttarakhand",,,"+ 91 - 01360 - 221333, + 91 - 9411112596",brightangels.school@yahoo.com,www.brightangelsschool.com
"33.Bright Space School, Dehradun",https://www.euttaranchal.com/schools/bright-space-school-dehradun.php,"Opposite Petrol Pump, Balawala, Dehradun - 248005, Uttarakhand, India","Dehradun, Uttarakhand",,,"+91 9927023649, 0135 2686779",sharmabrijesh050@gmail.com,www.brightspaceschooldoon.com
34.Brightlands School Dehradun,https://www.euttaranchal.com/schools/brightlands-school-dehradun.php,"1 Dick Road, Dalanwala, Dehradun 248001, Uttarakhand, India","Dehradun, Uttarakhand",,,+91-1352656157,kp.brightlandsschool@gmail.com,www.brightlandshool.co.in
35.Bristol Public School Dehradun,https://www.euttaranchal.com/schools/bristol-public-school-dehradun.php,"Vill. Paudwala, Rajawala Road, Via Premnagar, Near Selaqui, Dehradun",Dehradun,Dehradun,Uttarakhand,"+919997220916, +919557259580",bristolpublicschool@gmail.com,www.bristolpublicschool.com
"36.Brooklyn School, Dehradun",https://www.euttaranchal.com/schools/brooklyn-school-dehradun.php,"3/1, Curzon Road, Dalanwala, Dehradun - 248001, Uttarakhand, India","Dehradun, Uttarakhand",,,0135 - 2652426,brooklynschool@rediffmail.com,www.brooklynschool.org
37.Cambrian Hall School Dehradun,https://www.euttaranchal.com/schools/cambrian-hall-school-dehradun.php,"13, Young Road, Dehradun - 248001, Uttarakhand, India","Dehradun, Uttarakhand",Dehradun,Uttarakhand,"+91-9411393443,+91-0135-2753589","info@cambrianhall.in, admission.cambrianhall@gmail.com",www.cambrianhall.in
38.Carman Residential And Day School Dehradun,https://www.euttaranchal.com/schools/carman-residential-and-day-school-dehradun.php,"Shyampur, Prem Nagar  Dehradun - 248007, Uttrakhand","Dehradun, Uttarakhand",,,0135-2773381 | 7088999959,info@carmanschool.net,http://www.carmanschool.net/
"39.Charmwood International School, Dehradun",https://www.euttaranchal.com/schools/charmwood-international-school-dehradun.php,"4, Laxmi Road, Dalanwala,Prem Nagar, Dehradun, 248007, Uttarakhand, India","Dehradun, Uttarakhand",,,"+ 91 - 9897405255, + 91 - 8126182855",charmwoodinternational@gmail.com,www.charmwoodschool.com
"40.Children’s Academy, Dehradun",https://www.euttaranchal.com/schools/childrens-academy-dehradun.php,"83, Tagore Villa, Chakrata Road, Dehradun, Uttarakhand - 248001, India","Dehradun, Uttarakhand",,,0135-2659583,childrens_academy393@yahoo.com,www.childrensacademy.info
41.Col Brown Cambridge School Dehradun,https://www.euttaranchal.com/schools/col-brown-cambridge-school-dehradun.php,"5 Kasturba Road, Dalanwala Dehradun - 248001, Uttarakhand, India","Dehradun, Uttarakhand",Dehradun,Uttarakhand,"+91-6395114363, +91-7579495090, +91-135-2655233, +91-135-2714091, +91-135-2712228",principal@colbrownschool.com,www.colbrownschool.com
42.Colonel’s Academy Dehradun,https://www.euttaranchal.com/schools/colonels-academy-dehradun.php,"Ramgarh Shishambara, Shimla bypass road Dehradun, Uttarakhand.",Dehradun,Dehradun,Uttarakhand,0135-2693118/9,colonels.academy2006@gmail.com,http://www.colonelsacademy.net/
43.Constancia School Dehradun,https://www.euttaranchal.com/schools/constancia-school-dehradun.php,"Majra, Saharanpur Road, Dehradun,Uttarakhand, India","Dehradun, Uttarakhand",,,"+91-0135-2640177, 264236",,
44.DAV Public School Dehradun,https://www.euttaranchal.com/schools/dav-public-school-dehradun.php,"Sector 4, Defence Colony, Hardwar Road, Dehradun 248001, Uttarakhand, India","Dehradun, Uttarakhand",,,"+91-0135-2665059 , 2762405 , 2666446",dav_ddn@rediffmail.com,www.davschooldehradun.com
45.Dehradun Boys School,https://www.euttaranchal.com/schools/dehradun-boys-school.php,"4, Circular Road, Dalanwala Dehradun - 248 001, Uttarakhand, India","Dehradun, Uttarakhand",,,"0135-2710161, 2710171",info@dehradunboysschool.com,www.dehradunboysschool.com
"46.Dehradun Hills Academy, Dehradun",https://www.euttaranchal.com/schools/dehra-dun-hills-academy-dehradun.php,"No. 1 Jaswant Singh Marg, Mothrowala-Doodhli Road, Uttarakhand 248140","Dehradun, Uttarakhand",Dehradun,Uttarakhand,"+91-9012377773, +91-9411114921,","admissions.ddha@gmail.com, info@dehradunhillsacademy.co.in",www.dehradunhillsacademy.co.in
47.Doon Blossoms School Dehradun,https://www.euttaranchal.com/schools/doon-blossoms-school-dehradun.php,"7 Uggar Road, Dalanwala, Dehradun, Uttarakhand",Dehradun,Dehradun,Uttarakhand,"0135 – 2650393, 2655496",blossomsdoon@yahoo.co.in,https://www.dbeducationalsociety.com/dbs/
48.Doon Cambridge School Dehradun,https://www.euttaranchal.com/schools/doon-cambridge-school-dehradun.php,"20-E, Race Course, Dehradun – 248001, Uttarakhand, India","Dehradun, Uttarakhand",,,"0135 - 2625646, 2622874, 8266028880, 0135 - 2528111",dooncambridgeschool@gmail.com,www.dooncambridgeSchool.com
49.Doon Hempton School Dehradun,https://www.euttaranchal.com/schools/doon-hempton-school-dehradun.php,"Rajiv Juyal Road (Niranjanpur) Majra Dehradun, Uttarakhand",Dehradun,Dehradun,Uttarakhand,+(91)-135-2621523,doonhemptonschool@gmail.com,http://www.ut109cisce.org/
"50.Doon Heritage School, Dehradun",https://www.euttaranchal.com/schools/doon-heritage-school-dehradun.php,"Sunderban, Bhauwala, Dehradun, Uttarakhand, India","Dehradun, Uttarakhand",,,"0135 - 2102888, 7500299456, 9837045304",contact@doonheritageschool.com,www.doonheritageschool.com
51.Doon Presidency School Dehradun,https://www.euttaranchal.com/schools/doon-presidency-school-dehradun.php,"Prem Nagar, Dehradun 248007, Uttarakhand, India","Dehradun, Uttarakhand",,,"+91-0135-2771324, 2773216",,
"52.Doon Public Academy, Dehradun",https://www.euttaranchal.com/schools/doon-public-academy-dehradun.php,"Danda Lakhaud, Sahastradhara Road, Dehradun","Dehradun, Uttarakhand",,,+91-0135-2607756,doonpublicacademy@gmail.com,www.doonpublicacademy.com
"53.Doon Sarla Academy, Dehradun",https://www.euttaranchal.com/schools/doon-sarla-academy-dehradun.php,"46 D, Patthri Bagh,  Dehradun,248001  Uttarakhand","Dehradun, Uttarakhand",,,0135-2729208/7895151503,info@doonsarlaacademy.org,http://doonsarlaacademy.org/
54.Doon Valley Public School Dehradun,https://www.euttaranchal.com/schools/doon-valley-public-school-dehradun.php,"Garhi Cantt., Dehradun - 248003, Uttarakhand, India","Dehradun, Uttarakhand",,,+91-135-2753710,info@doonvalleypublicschool.com,www.doonvalleypublicschool.com
"55.Doon World School, Dehradun",https://www.euttaranchal.com/schools/doon-world-school-dehradun.php,"Raksha Vihar, Behind Aanchal Dairy Raipur Road, Dehradun - 248001",Dehradun,Dehradun,Uttarakhand,"0135 2788 366, 2788566",info@doonworldschool.com,www.doonworldschool.com
56.DPS Dehradun,https://www.euttaranchal.com/schools/dps-dehradun.php,"Kalagaon, Sahashtradhara Road, Dehradun - 248001","Dehradun, Uttarakhand",,,"+91 (135) 2607347, +91 (135) 2749533","infodpsdun@gmail.com, principaldpsdun@gmail.com",www.dpsdehradun.in
"57.DPSG, Dehradun",https://www.euttaranchal.com/schools/dpsg-dehradun.php,"Chakrata Road, Dehradun - 248197, Uttarakhand, India","Dehradun, Uttarakhand",,,"+ 91 - 7536801100, 0135 - 6900000",admissions.dpsgddn@dpsgs.org,www.ddn.dpsgs.org
"58.Dream Flowers, Dehradun",https://www.euttaranchal.com/schools/dream-flowers-dehradun.php,"Clock Tower, Opp. Shiv Mandir, Chakarata Rd, Bindaal Tirahya, Tagore Villa, Connaught Place, Dehradun, Uttarakhand","Dehradun, Uttarakhand",,,8755366560,,
"59.Drona’s International School, Dehradun",https://www.euttaranchal.com/schools/dronas-international-school-dehradun.php,"1 Municipal Road, Dehradun - 248001 Uttarakhand India","Dehradun, Uttarakhand",,,+91-135-2652671,dronasschool@gmail.com,https://www.dronas.edu.in/
"60.Edify World School, Dehradun",https://www.euttaranchal.com/schools/edify-world-school-dehradun.php,"Holkar Estate, Mothrowala-Cantt Road, Dehradun, 248001, Uttarakhand, India","Dehradun, Uttarakhand",,,"+ 91 - 7055511140, 7055511150",info@edifyschooldehradun.com,www.edifyworldschooldehradun.com
"61.Explorers Play School And Day Care, Dehradun",https://www.euttaranchal.com/pre-schools/explorers-play-school-day-care-dehradun.php,"76/22, Lane 1, Saket, (Opp. SilverCity Cinema) Rajpur Road, Dehradun","Dehradun, Uttarakhand",,,"0135-6006006, 7830801000",info@explorers-india.in,www.explorers-india.in
"62.Fylfot Public School, Dehradun",https://www.euttaranchal.com/schools/flyfot-public-school-dehradun.php,"Tea Estate, Banjarawala, Dehradun, Uttarakhand, India","Dehradun, Uttarakhand",,,0135 - 2532033,fylfotschool@gmail.com,www.fylfotschool.com
"63.Galaxian International School, Dehradun",https://www.euttaranchal.com/schools/galaxian-international-school-dehradun.php,"Choila (Near Wild Life Institute ), Saharanpur Rd, Transport Nagar, Subhash Nagar, Dehradun-248001, Uttarakhand, India","Dehradun, Uttarakhand",,,+ 91 - 7500291400,galaxianschool@yahoo.com,www.galaxianschool.in
"64.Gautam International School, Dehradun",https://www.euttaranchal.com/schools/gautam-international-school-dehradun.php,"Indira Nagar Colony , Vasant Vihar , Dehradun - 248001, Uttarakhand, India","Dehradun, Uttarakhand",,,"0135-2761694, 87554 56234","Gautam_school@rediffmail.com,  info@gautamschool.in",www.gautaminternationalschool.com
65.GD Goenka Public School Dehradun,https://www.euttaranchal.com/schools/gd-goenka-public-school-dehradun.php,"Knowledge Village, Ramgarh, Shimla Bypass Road Dehradun, Uttarakhand",Dehradun,Dehradun,Uttarakhand,"+91-98707 41468, +91-135-6170080",info@gdgoenkadehradun.com,www.gdgoenkadehradun.com
"66.George Public School, Dehradun",https://www.euttaranchal.com/schools/george-public-school-dehradun.php,"Nimbuwala, Garhi Cantt, Dehradun - 248001, Uttarakhand, India","Dehradun, Uttarakhand",,,0135-2750791,schoolgeorgepublic@gmail.com,www.georgepublicschool.com
"67.Glacier Public School, Dehradun",https://www.euttaranchal.com/schools/glacier-public-school-dehradun.php,"Gujronwala, Nathuwala ( Adjacent to Tunwala) Dehradun- 248008 , Uttarakhand, India","Dehradun, Uttarakhand",,,+91 9997334549 | +91 8077868899,glacier_school@yahoo.com,http://glacierpublicschool.com/
"68.Grace Academy, Dehradun",https://www.euttaranchal.com/schools/grace-academy-dehradun.php,"21-C, New Cantt Road, Dehradun - 248001, Uttarakhand, India","Dehradun, Uttarakhand",Dehradun,Uttarakhand,"0135 – 2740820, 0135 – 2743056","graceacd@graceacademyindia.com, principal@graceacademyindia.com",www.graceacademyindia.com
"69.GRD Academy, Dehradun",https://www.euttaranchal.com/schools/grd-academy-dehradun.php,"Niranjanpur, Patel Nagar, Dehradun 248001 Uttarakhand, India.","Dehradun, Uttarakhand",,,"+ 135 2628998, 9639900054","grddehradun@yahoo.co.in,",http://grdacademyniranjanpur.com/
"70.GRD World School, Dehradun",https://www.euttaranchal.com/schools/grd-world-school-dehradun.php,"Vill. Bhagwanpur, Near Bhauwala, Dehradun-248007, Uttarakhand, India","Dehradun, Uttarakhand",Dehradun,Uttarakhand,"+ 91 - 0135 - 2694847, 2694849","grd89dehradun@gmail.com, info@grdedu.com",http://grdworldschoolindehradun.com/
"71.Greenwood Hills School, Dehradun",https://www.euttaranchal.com/schools/greenwood-hills-school-dehradun.php,"Dudlimarg, Mothrowala, Dehradun - 248001, Uttarakhand, India","Dehradun, Uttarakhand",,,+91-746 506 0606 +91-705 551 2225,info@gwhschool.com,www.gwhschool.com
72.Guru Nanak Academy Dehradun,https://www.euttaranchal.com/schools/guru-nanak-academy-dehradun.php,"Raipur Road, Dehradun - 248001, Uttarakhand, India","Dehradun, Uttarakhand",,,"+91-0135-2787235, 2787345, 2781573",principalgna@gmail.com,http://www.gurunanakacademydehradun.com/
73.Gyan Einstein International School Dehradun,https://www.euttaranchal.com/schools/gyan-einstein-international-school-dehradun.php,"Shisham, Bada Parwal Road, Shimla Bypass Road, Dehradun",Dehradun,Dehradun,Uttarakhand,9837218608,geischool2015@gmail.com,https://geischool.com/
"74.Gyananda School, Dehradun",https://www.euttaranchal.com/schools/gyananda-school-dehradun.php,"49 Subhash Road, Dehradun Uttrakhand","Dehradun, Uttarakhand",,,"7060166440, 7060800465",info.gyanandadoon@gmail.com,www.gyanandadoon.org
"75.Hill Foundation School, Dehradun",https://www.euttaranchal.com/schools/hill-foundation-school-dehradun.php,"Indira Nagar Colony, Near Seemadwar, ITBP Rd, Dehradun-248006, Uttarakhand, India","Dehradun, Uttarakhand",,,,,
76.Hilton School Dehradun,https://www.euttaranchal.com/schools/hilton-school-dehradun.php,"Subhash Nagar, Dehradun 248001, Uttarakhand, India","Dehradun, Uttarakhand",,,+91-0135 2640240,,
